ablated_concept,measured_concept,on_target,r1_accuracy,r2a_similarity,r2b_similarity,delta_r1,delta_r2a,delta_r2b
camel,camel,True,0.375,0.5320038087666035,0.9000255316495895,0.0,-0.0620134137570858,0.09997423738241196
camel,bee,False,0.6666666666666666,0.5179806689421336,0.8686473806699117,0.06666666666666665,-0.03062622944513954,0.13135231335957853
camel,horse,False,0.0,0.5317364652951558,0.8897663036982218,0.0,-0.032942231496175145,0.11023337443669634
camel,penguin,False,1.0,0.494749692770151,0.8868391559674189,0.0,-0.005820551743874192,0.11316053225443923
camel,violin,False,0.8888888888888888,0.5493781997097863,0.8581753704282973,0.11111111111111116,-0.045725150240792156,0.14182432492574049
camel,bird,False,0.0,0.5209435979525249,0.8683919588724772,0.0,-0.0353928109010061,0.13160780668258665
camel,spider,False,0.0,0.516516782840093,0.8774983286857605,0.0,-0.02556772430737808,0.12250138918558762
camel,candle,False,1.0,0.5344116866588593,0.8542266726493836,0.0,0.0012994090716044182,0.1457730650901794
camel,tabby_cat,False,0.0,0.5291078527768452,0.8599334081013997,0.0,-0.06443486611048377,0.14006634553273523
camel,golden_retriever,False,0.3333333333333333,0.5181524614493053,0.8688435633977254,0.0,-0.05016240874926253,0.13115611871083577
camel,labrador_retriever,False,1.0,0.5368312895298004,0.8602003177007039,-0.1333333333333333,-0.05621916651725767,0.139799439907074
bee,camel,False,0.375,0.44797322154045105,0.9797997027635574,0.0,0.02201717346906662,0.02020006626844406
bee,bee,True,0.6666666666666666,0.5055183629194896,0.982408344745636,0.06666666666666665,-0.018163923422495565,0.017591349283854196
bee,horse,False,0.0,0.4521668255329132,0.9710965593655904,0.0,0.04662740826606748,0.02890311876932783
bee,penguin,False,1.0,0.4656440019607544,0.979859668474931,0.0,0.02328513906552243,0.02014001974692714
bee,violin,False,1.0,0.45183033413357204,0.9718879527515836,0.0,0.0518227153354221,0.028111742602454193
bee,bird,False,0.0,0.4817212800184886,0.9833451946576436,0.0,0.0038295070330301995,0.016654570897420284
bee,spider,False,0.0,0.49203770558039345,0.9839152614275615,0.0,-0.0010886470476785814,0.016084456443786643
bee,candle,False,1.0,0.4726444919904073,0.9554521123568217,0.0,0.0630666037400564,0.04454762538274126
bee,tabby_cat,False,0.0,0.4398447036743164,0.9771529754002889,0.0,0.024828282992045092,0.022846778233846066
bee,golden_retriever,False,0.3333333333333333,0.44309014876683556,0.9787227829297384,0.0,0.02489990393320718,0.021276899178822806
bee,labrador_retriever,False,0.8666666666666667,0.4494943877061208,0.9766973098119099,0.0,0.031117735306421923,0.023302447795867987
horse,camel,False,0.375,0.46237024664878845,0.9820132106542587,0.0,0.0076201483607292175,0.017986558377742767
horse,bee,False,0.6666666666666666,0.44097070892651874,0.9763267079989115,0.06666666666666665,0.04638373057047529,0.023672986030578658
horse,horse,True,0.0,0.48693921566009524,0.9791049559911092,0.0,0.011855018138885454,0.02089472214380894
horse,penguin,False,1.0,0.4623600496695592,0.9797058151318476,0.0,0.026569091356717645,0.020293873090010517
horse,violin,False,1.0,0.4685528377691905,0.9780188401540121,0.0,0.03510021169980365,0.021980855200025684
horse,bird,False,0.0,0.4462237596511841,0.9790732582410177,0.0,0.03932702740033467,0.020926507314046217
horse,spider,False,0.0,0.45326688289642336,0.9733042160669962,0.0,0.037682175636291504,0.026695501804351873
horse,candle,False,1.0,0.4865607678890228,0.9670845866203308,0.0,0.04915032784144091,0.032915151119232156
horse,tabby_cat,False,0.0,0.43777234355608624,0.9792304873466492,0.0,0.026900643110275235,0.020769266287485766
horse,golden_retriever,False,0.3333333333333333,0.44439292947451275,0.9812091191609701,0.0,0.02359712322552998,0.018790562947591072
horse,labrador_retriever,False,0.8666666666666667,0.45574248433113096,0.9807196100552876,0.0,0.024869638681411788,0.0192801475524903
penguin,camel,False,0.375,0.5380344055593014,0.8967944532632828,0.0,-0.0680440105497837,0.10320531576871872
penguin,bee,False,0.7333333333333333,0.5493277510007223,0.8838493307431539,0.0,-0.06197331150372826,0.11615036328633632
penguin,horse,False,0.0,0.514417173465093,0.8972127755482991,0.0,-0.015622939666112279,0.10278690258661904
penguin,penguin,True,1.0,0.5766832278325007,0.8987927711926974,0.0,-0.08775408680622387,0.10120691702916074
penguin,violin,False,1.0,0.5815726783540514,0.8404445317056444,0.0,-0.07791962888505721,0.1595551636483934
penguin,bird,False,0.0,0.567229135831197,0.872104815642039,0.0,-0.08167834877967828,0.12789494991302486
penguin,spider,False,0.0,0.5477933208147685,0.8883794188499451,0.0,-0.05684426228205364,0.11162029902140302
penguin,candle,False,1.0,0.5463422298431396,0.8625437537829082,0.0,-0.01063113411267591,0.13745598395665481
penguin,tabby_cat,False,0.0,0.586798369884491,0.8637346744537353,0.0,-0.12212538321812949,0.13626507918039965
penguin,golden_retriever,False,0.3333333333333333,0.5772144416968028,0.8499800443649292,0.0,-0.10922438899676007,0.15001963774363192
penguin,labrador_retriever,False,1.0,0.5936589697996776,0.8416032314300537,-0.1333333333333333,-0.11304684678713484,0.15839652617772426
violin,camel,False,0.375,0.49637041985988617,0.9599286988377571,0.0,-0.0263800248503685,0.040071070194244385
violin,bee,False,0.8,0.502161039908727,0.9569800972938538,-0.06666666666666676,-0.014806600411732929,0.04301959673563638
violin,horse,False,0.0,0.5135118544101716,0.9580399394035339,0.0,-0.014717620611190863,0.041959738731384255
violin,penguin,False,1.0,0.5166447506501124,0.9579314314402066,0.0,-0.02771560962383557,0.04206825678165149
violin,violin,True,1.0,0.5438491966989305,0.9368645085228814,0.0,-0.04019614722993636,0.06313518683115638
violin,bird,False,0.0,0.5119007805983226,0.9574979662895202,0.0,-0.026349993546803785,0.04250179926554365
violin,spider,False,0.0,0.5283592760562896,0.955589210987091,0.0,-0.03741021752357476,0.04441050688425707
violin,candle,False,1.0,0.5594894727071126,0.95865531762441,0.0,-0.023778376976648863,0.041344420115152936
violin,tabby_cat,False,0.0,0.5001569509506225,0.956918493906657,0.0,-0.03548396428426104,0.043081259727478005
violin,golden_retriever,False,0.3333333333333333,0.49544776876767477,0.9573681433995564,0.0,-0.027457716067632032,0.04263153870900471
violin,labrador_retriever,False,0.8666666666666667,0.5114828328291575,0.955426796277364,0.0,-0.030870709816614772,0.044572961330413885
bird,camel,False,0.375,0.6322213932871819,0.8320211693644524,0.0,-0.16223099827766418,0.16797859966754913
bird,bee,False,0.7333333333333333,0.6718112826347351,0.7901921073595682,0.0,-0.18445684313774108,0.20980758666992194
bird,horse,False,0.0,0.6174063563346863,0.8391319712003072,0.0,-0.11861212253570563,0.16086770693461094
bird,penguin,False,1.0,0.6300340982583853,0.8555053655917828,0.0,-0.14110495723210847,0.14449432263007533
bird,violin,False,1.0,0.659720347987281,0.7373818755149841,0.0,-0.15606729851828682,0.26261781983905363
bird,bird,True,0.0,0.6657452344894409,0.8389349857966105,0.0,-0.18019444743792212,0.16106477975845335
bird,spider,False,0.0,0.6687302350997925,0.840145758787791,0.0,-0.1777811765670776,0.15985395908355715
bird,candle,False,1.0,0.6568234284718831,0.783354624112447,0.0,-0.12111233274141942,0.21664511362711592
bird,tabby_cat,False,0.0,0.6886380712191263,0.7639775156974793,0.0,-0.22396508455276487,0.23602223793665567
bird,golden_retriever,False,0.3333333333333333,0.6755999803543091,0.7531331539154053,0.0,-0.2076099276542664,0.2468665281931559
bird,labrador_retriever,False,1.0,0.6768301804860433,0.7483528931935628,-0.1333333333333333,-0.19621805747350052,0.25164686441421513
spider,camel,False,0.375,0.4206197075545788,0.9673068597912788,0.0,0.04937068745493889,0.032692909240722656
spider,bee,False,0.9333333333333333,0.4380355258782705,0.9689232230186462,-0.20000000000000007,0.04931891361872354,0.031076471010843987
spider,horse,False,0.0,0.41724706490834557,0.9588040788968404,0.0,0.08154716889063512,0.04119559923807781
spider,penguin,False,1.0,0.44094518514779896,0.9695803247965299,0.0,0.04798395587847787,0.03041936342532825
spider,violin,False,1.0,0.416139370865292,0.9576057725482516,0.0,0.08751367860370213,0.04239392280578613
spider,bird,False,0.0,0.4512882928053538,0.9708528319994608,0.0,0.034262494246164954,0.02914693355560305
spider,spider,True,0.0,0.4855975151062012,0.9627292434374491,0.0,0.005351543426513672,0.03727047443389897
spider,candle,False,1.0,0.4484118362267812,0.9493299722671509,0.0,0.0872992595036825,0.05066976547241209
spider,tabby_cat,False,0.0,0.4197634756565094,0.9676279783248901,0.0,0.04490951100985208,0.032371775309244843
spider,golden_retriever,False,0.3333333333333333,0.4107527256011963,0.9645313024520874,0.0,0.057237327098846436,0.03546837965647376
spider,labrador_retriever,False,0.8666666666666667,0.4216629505157471,0.9623386303583781,0.0,0.058949172496795654,0.03766112724939985
candle,camel,False,0.375,0.4960717298090458,0.9930683299899101,0.0,-0.026081334799528122,0.00693143904209137
candle,bee,False,0.7333333333333333,0.5063296357790629,0.993476951122284,0.0,-0.01897519628206884,0.006522742907206225
candle,horse,False,0.0,0.5205081741015116,0.9930947224299113,0.0,-0.021713940302530932,0.006904955705006932
candle,penguin,False,1.0,0.5098204933680021,0.9937781874950116,0.0,-0.020891352341725233,0.006221500726846574
candle,violin,False,1.0,0.5314322412014008,0.9938574698236253,0.0,-0.027779191732406616,0.006142225530412437
candle,bird,False,0.0,0.5057157119115193,0.9926939407984415,0.0,-0.020164924860000544,0.007305824756622337
candle,spider,False,0.0,0.5158125400543213,0.9921037673950195,0.0,-0.024863481521606445,0.007895950476328628
