concept,mode,n_layers,alpha,centering,direction,r1_accuracy,r2a_similarity,r2b_similarity,delta_r1,delta_r2a,delta_r2b
golden_retriever,single_L8,1,1.0,centered,ablation,0.06666666666666667,0.5498996675014496,0.9981863141059876,0.0,-0.005432494481404593,0.0018134713172912598
golden_retriever,single_L8,1,1.0,raw,ablation,0.06666666666666667,0.5462554494539896,0.9998510877291361,0.0,-0.0017882764339446355,0.00014869769414271872
golden_retriever,single_L8,1,4.0,centered,ablation,0.0,0.5738539258639018,0.9685870210329691,0.06666666666666667,-0.029386752843856834,0.03141276439030971
golden_retriever,single_L8,1,4.0,raw,ablation,0.0,0.5537874738375346,0.9975108782450358,0.06666666666666667,-0.00932030081748958,0.002488907178243016
golden_retriever,multi_early,3,1.0,centered,ablation,0.06666666666666667,0.5524052262306214,0.9956441402435303,0.0,-0.00793805321057639,0.004355645179748513
golden_retriever,multi_early,3,1.0,raw,ablation,0.0,0.5559732993443807,0.999007006486257,0.06666666666666667,-0.011506126324335675,0.0009927789370218765
golden_retriever,multi_early,3,4.0,centered,ablation,0.0,0.5719494521617889,0.9211421767870586,0.06666666666666667,-0.027482279141743948,0.07885760863622027
golden_retriever,multi_early,3,4.0,raw,ablation,0.0,0.5964067141215007,0.9790129025777181,0.06666666666666667,-0.05193954110145571,0.020986882845560717
golden_retriever,multi_all,32,1.0,centered,ablation,0.0,0.5632212241490682,0.9836215376853943,0.06666666666666667,-0.018754051129023175,0.016378247737884544
golden_retriever,multi_all,32,1.0,raw,ablation,0.0,0.6802475055058798,0.533653034766515,0.06666666666666667,-0.13578033248583476,0.4663467506567638
golden_retriever,multi_all,32,4.0,centered,ablation,0.06666666666666667,,,0.0,,
golden_retriever,multi_all,32,4.0,raw,ablation,0.13333333333333333,0.8679332574208577,0.10259895026683807,-0.06666666666666667,-0.3234660844008127,0.8974008351564408
golden_retriever,multi_all,32,4.0,centered,amplification,0.06666666666666667,,,0.0,,
labrador_retriever,single_L8,1,1.0,centered,ablation,1.0,0.5771207372347514,0.996101729075114,0.0,-0.0201105654239655,0.0038979649543762207
labrador_retriever,single_L8,1,1.0,raw,ablation,1.0,0.5574129501978556,0.9998555501302083,0.0,-0.00040277838706970215,0.00014414389928185667
labrador_retriever,single_L8,1,4.0,centered,ablation,1.0,0.5952327330907186,0.9421865383783976,0.0,-0.03822256127993262,0.057813155651092574
labrador_retriever,single_L8,1,4.0,raw,ablation,1.0,0.5606298347314199,0.9977815548578898,0.0,-0.0036196629206339814,0.0022181391716004084
labrador_retriever,multi_early,3,1.0,centered,ablation,1.0,0.5858222484588623,0.9912096699078877,0.0,-0.02881207664807639,0.008790024121602458
labrador_retriever,multi_early,3,1.0,raw,ablation,1.0,0.5614204625288646,0.9992224057515462,0.0,-0.0044102907180786355,0.0007772882779439882
labrador_retriever,multi_early,3,4.0,centered,ablation,1.0,0.1599948393801848,0.4003174682458242,0.0,0.39701533243060116,0.599682225783666
labrador_retriever,multi_early,3,4.0,raw,ablation,1.0,0.5825146158536275,0.9848758896191915,0.0,-0.02550444404284158,0.015123804410298702
labrador_retriever,multi_all,32,1.0,centered,ablation,1.0,0.6004950722058614,0.9771727681159973,0.0,-0.043484900395075465,0.02282692591349289
labrador_retriever,multi_all,32,1.0,raw,ablation,1.0,0.6387881716092427,0.5720218638579051,0.0,-0.08177799979845679,0.4279778301715851
labrador_retriever,multi_all,32,4.0,centered,ablation,0.4,,,0.6,,
labrador_retriever,multi_all,32,4.0,raw,ablation,0.06666666666666667,0.9307551066080729,0.1373313844203949,0.9333333333333333,-0.373744934797287,0.8626683096090952
labrador_retriever,multi_all,32,4.0,centered,amplification,0.4,,,0.6,,
tabby_cat,single_L8,1,1.0,centered,ablation,0.0,0.571521669626236,0.9976092139879863,0.0,-0.009124680360158233,0.0023905197779336973
tabby_cat,single_L8,1,1.0,raw,ablation,0.0,0.5641045967737833,0.9998532891273498,0.0,-0.0017076075077055997,0.00014644463857016454
tabby_cat,single_L8,1,4.0,centered,ablation,0.0,0.5449394106864929,0.9516721367835999,0.0,0.017457578579584854,0.04832759698232014
tabby_cat,single_L8,1,4.0,raw,ablation,0.0,0.5701579630374909,0.997494121392568,0.0,-0.00776097377141316,0.0025056123733520064
tabby_cat,multi_early,3,1.0,centered,ablation,0.0,0.5706805527210236,0.9952642281850179,0.0,-0.008283563454945853,0.004735505580902077
tabby_cat,multi_early,3,1.0,raw,ablation,0.0,0.5682887772719065,0.9990473906199138,0.0,-0.005891788005828791,0.0009523431460062293
tabby_cat,multi_early,3,4.0,centered,ablation,0.0,0.11976175258557002,0.584962526957194,0.0,0.4426352366805077,0.415037206808726
tabby_cat,multi_early,3,4.0,raw,ablation,0.0,0.5648255129655202,0.9807113170623779,0.0,-0.002428523699442464,0.01928841670354209
tabby_cat,multi_all,32,1.0,centered,ablation,0.0,0.5974426190058391,0.9859825174013773,0.0,-0.03504562973976133,0.014017216364542673
tabby_cat,multi_all,32,1.0,raw,ablation,0.0,0.6259653250376384,0.5406142989794414,0.0,-0.06356833577156062,0.45938543478647864
tabby_cat,multi_all,32,4.0,centered,ablation,0.4,,,-0.4,,
tabby_cat,multi_all,32,4.0,raw,ablation,0.0,0.6568485418955485,0.1173499291141828,0.0,-0.0944515526294708,0.8826498046517373
tabby_cat,multi_all,32,4.0,centered,amplification,0.4,,,-0.4,,
