concept,cav_method,layer,technique,alpha,r1_accuracy,r2_similarity,r1_baseline,r2_baseline,delta_r1,delta_r2
time,mean_diff,6,subtraction,1.5,0.9666666666666667,0.9853098154067993,0.9666666666666667,0.9854056739807129,0.0,9.585857391358754e-05
time,mean_diff,6,subtraction,3.5,0.9666666666666667,0.9851920747756958,0.9666666666666667,0.9854056739807129,0.0,0.00021359920501706764
time,mean_diff,6,subtraction,6.0,0.9666666666666667,0.9850596570968628,0.9666666666666667,0.9854056739807129,0.0,0.00034601688385005325
time,mean_diff,6,projection,1.5,0.9333333333333333,0.9853315925598145,0.9666666666666667,0.9854056739807129,0.033333333333333326,7.408142089837533e-05
time,mean_diff,6,projection,3.5,0.9,0.9864150667190552,0.9666666666666667,0.9854056739807129,0.06666666666666665,-0.0010093927383423296
time,mean_diff,6,projection,6.0,0.9666666666666667,0.9866488575935364,0.9666666666666667,0.9854056739807129,0.0,-0.0012431836128234952
time,mean_diff,10,subtraction,1.5,0.9666666666666667,0.9853705286979675,0.9666666666666667,0.9854056739807129,0.0,3.5145282745396855e-05
time,mean_diff,10,subtraction,3.5,0.9666666666666667,0.9853263664245605,0.9666666666666667,0.9854056739807129,0.0,7.930755615237484e-05
time,mean_diff,10,subtraction,6.0,0.9666666666666667,0.9852754735946655,0.9666666666666667,0.9854056739807129,0.0,0.00013020038604738549
time,mean_diff,10,projection,1.5,1.0,0.9853957629203797,0.9666666666666667,0.9854056739807129,-0.033333333333333326,9.911060333211985e-06
time,mean_diff,10,projection,3.5,0.9333333333333333,0.9842110824584961,0.9666666666666667,0.9854056739807129,0.033333333333333326,0.0011945915222167924
time,mean_diff,10,projection,6.0,0.8666666666666667,0.9797078132629394,0.9666666666666667,0.9854056739807129,0.09999999999999998,0.005697860717773451
time,svm,6,subtraction,1.5,0.9666666666666667,0.9853497958183288,0.9666666666666667,0.9854056739807129,0.0,5.587816238405985e-05
time,svm,6,subtraction,3.5,0.9666666666666667,0.9852851128578186,0.9666666666666667,0.9854056739807129,0.0,0.00012056112289426935
time,svm,6,subtraction,6.0,0.9666666666666667,0.9852194952964782,0.9666666666666667,0.9854056739807129,0.0,0.00018617868423465023
time,svm,6,projection,1.5,0.9666666666666667,0.985405843257904,0.9666666666666667,0.9854056739807129,0.0,-1.692771911532276e-07
time,svm,6,projection,3.5,0.8,0.9867288541793823,0.9666666666666667,0.9854056739807129,0.16666666666666663,-0.0013231801986693936
time,svm,6,projection,6.0,0.6333333333333333,0.988961329460144,0.9666666666666667,0.9854056739807129,0.33333333333333337,-0.0035556554794311523
