model,model_family,model_params_B,n_layers_total,ablated_concept,measured_concept,on_target,cav_method,layer_condition,layer_numeric,layer_depth_frac,layer_type,alpha,ablation_mode,accuracy,baseline_accuracy,delta_accuracy,n_items,n_correct,concept_overlap_tier,n_baseline_correct
gpt2_small,text,0.124,12,camel,camel,True,mean_diff,L6,6,0.5,single_mid,3.0,all_tokens,0.8,1.0,0.19999999999999996,15,12,all_3,15
gpt2_small,text,0.124,12,camel,writer,False,mean_diff,L6,6,0.5,single_mid,3.0,all_tokens,0.4,1.0,0.6,10,4,all_3,15
gpt2_small,text,0.124,12,camel,horse,False,mean_diff,L6,6,0.5,single_mid,3.0,all_tokens,0.75,1.0,0.25,16,12,all_3,15
gpt2_small,text,0.124,12,camel,violin,False,mean_diff,L6,6,0.5,single_mid,3.0,all_tokens,0.4666666666666667,1.0,0.5333333333333333,15,7,all_3,15
gpt2_small,text,0.124,12,camel,camel,True,mean_diff,L6,6,0.5,single_mid,6.0,all_tokens,0.8,1.0,0.19999999999999996,15,12,all_3,15
gpt2_small,text,0.124,12,camel,violin,False,mean_diff,L6,6,0.5,single_mid,6.0,all_tokens,0.3333333333333333,1.0,0.6666666666666667,15,5,all_3,15
gpt2_small,text,0.124,12,camel,squirrel,False,mean_diff,L6,6,0.5,single_mid,6.0,all_tokens,0.7857142857142857,1.0,0.2142857142857143,14,11,all_3,15
gpt2_small,text,0.124,12,camel,musician,False,mean_diff,L6,6,0.5,single_mid,6.0,all_tokens,0.375,1.0,0.625,8,3,all_3,15
gpt2_small,text,0.124,12,camel,camel,True,mean_diff,L6,6,0.5,single_mid,10.0,all_tokens,0.8,1.0,0.19999999999999996,15,12,all_3,15
gpt2_small,text,0.124,12,camel,fire,False,mean_diff,L6,6,0.5,single_mid,10.0,all_tokens,0.16666666666666666,1.0,0.8333333333333334,12,2,all_3,15
gpt2_small,text,0.124,12,camel,spider,False,mean_diff,L6,6,0.5,single_mid,10.0,all_tokens,0.6666666666666666,1.0,0.33333333333333337,15,10,all_3,15
gpt2_small,text,0.124,12,camel,chef,False,mean_diff,L6,6,0.5,single_mid,10.0,all_tokens,0.2,1.0,0.8,5,1,all_3,15
gpt2_small,text,0.124,12,camel,camel,True,mean_diff,L6,6,0.5,single_mid,15.0,all_tokens,0.8,1.0,0.19999999999999996,15,12,all_3,15
gpt2_small,text,0.124,12,camel,painter,False,mean_diff,L6,6,0.5,single_mid,15.0,all_tokens,0.3333333333333333,1.0,0.6666666666666667,9,3,all_3,15
gpt2_small,text,0.124,12,camel,writer,False,mean_diff,L6,6,0.5,single_mid,15.0,all_tokens,0.4,1.0,0.6,10,4,all_3,15
