concept,mode,n_layers,alpha,centering,direction,r1_accuracy,r2_similarity,r1_baseline,r2_baseline,delta_r1,delta_r2
time,single_L3,1,1.0,centered,ablation,0.6666666666666666,0.989409601688385,0.6666666666666666,0.989374692440033,0.0,-3.490924835203302e-05
time,single_L3,1,1.0,raw,ablation,0.6666666666666666,0.9894044852256775,0.6666666666666666,0.989374692440033,0.0,-2.9792785644522368e-05
time,single_L3,1,4.0,centered,ablation,0.6333333333333333,0.9895194745063782,0.6666666666666666,0.989374692440033,0.033333333333333326,-0.00014478206634527258
time,single_L3,1,4.0,raw,ablation,0.6333333333333333,0.9894994258880615,0.6666666666666666,0.989374692440033,0.033333333333333326,-0.0001247334480285467
time,multi_early,3,1.0,centered,ablation,0.6333333333333333,0.9894845414161683,0.6666666666666666,0.989374692440033,0.033333333333333326,-0.0001098489761353072
time,multi_early,3,1.0,raw,ablation,0.6333333333333333,0.989463722705841,0.6666666666666666,0.989374692440033,0.033333333333333326,-8.90302658080877e-05
time,multi_early,3,4.0,centered,ablation,0.5666666666666667,0.9899445724487305,0.6666666666666666,0.989374692440033,0.09999999999999998,-0.0005698800086975098
time,multi_early,3,4.0,raw,ablation,0.5666666666666667,0.9897928333282471,0.6666666666666666,0.989374692440033,0.09999999999999998,-0.00041814088821412465
time,multi_all,12,1.0,centered,ablation,0.5666666666666667,0.9893143701553345,0.6666666666666666,0.989374692440033,0.09999999999999998,6.032228469843304e-05
time,multi_all,12,1.0,raw,ablation,0.5666666666666667,0.9892866325378418,0.6666666666666666,0.989374692440033,0.09999999999999998,8.805990219118431e-05
time,multi_all,12,4.0,centered,ablation,0.5666666666666667,0.991626124382019,0.6666666666666666,0.989374692440033,0.09999999999999998,-0.0022514319419860707
time,multi_all,12,4.0,raw,ablation,0.5333333333333333,0.9907623147964477,0.6666666666666666,0.989374692440033,0.1333333333333333,-0.0013876223564147638
place,single_L3,1,1.0,centered,ablation,0.7,0.991181514263153,0.7,0.9912307643890381,0.0,4.925012588508082e-05
place,single_L3,1,1.0,raw,ablation,0.7,0.9911798167228699,0.7,0.9912307643890381,0.0,5.094766616819957e-05
place,single_L3,1,4.0,centered,ablation,0.7,0.9910739159584045,0.7,0.9912307643890381,0.0,0.00015684843063357157
place,single_L3,1,4.0,raw,ablation,0.7,0.9910670256614685,0.7,0.9912307643890381,0.0,0.00016373872756958452
place,multi_early,3,1.0,centered,ablation,0.7,0.9911251759529114,0.7,0.9912307643890381,0.0,0.00010558843612673563
place,multi_early,3,1.0,raw,ablation,0.7,0.9911192178726196,0.7,0.9912307643890381,0.0,0.00011154651641853697
place,multi_early,3,4.0,centered,ablation,0.6,0.9910548233985901,0.7,0.9912307643890381,0.09999999999999998,0.00017594099044804246
place,multi_early,3,4.0,raw,ablation,0.6,0.9910307383537292,0.7,0.9912307643890381,0.09999999999999998,0.00020002603530888674
place,multi_all,12,1.0,centered,ablation,0.6,0.9908099675178528,0.7,0.9912307643890381,0.09999999999999998,0.00042079687118534714
place,multi_all,12,1.0,raw,ablation,0.6,0.990773012638092,0.7,0.9912307643890381,0.09999999999999998,0.00045775175094608933
place,multi_all,12,4.0,centered,ablation,0.36666666666666664,0.9921292901039124,0.7,0.9912307643890381,0.3333333333333333,-0.0008985257148742543
place,multi_all,12,4.0,raw,ablation,0.36666666666666664,0.9920764756202698,0.7,0.9912307643890381,0.3333333333333333,-0.0008457112312316717
tools,single_L3,1,1.0,centered,ablation,0.13333333333333333,0.9897061920166016,0.13333333333333333,0.989692006111145,0.0,-1.4185905456542969e-05
tools,single_L3,1,1.0,raw,ablation,0.13333333333333333,0.9896998023986816,0.13333333333333333,0.989692006111145,0.0,-7.79628753655448e-06
tools,single_L3,1,4.0,centered,ablation,0.1,0.9898038983345032,0.13333333333333333,0.989692006111145,0.033333333333333326,-0.00011189222335816762
tools,single_L3,1,4.0,raw,ablation,0.1,0.9898065972328186,0.13333333333333333,0.989692006111145,0.033333333333333326,-0.00011459112167355734
tools,multi_early,3,1.0,centered,ablation,0.13333333333333333,0.9897254347801209,0.13333333333333333,0.989692006111145,0.0,-3.3428668975821196e-05
tools,multi_early,3,1.0,raw,ablation,0.13333333333333333,0.9897121000289917,0.13333333333333333,0.989692006111145,0.0,-2.0093917846630838e-05
tools,multi_early,3,4.0,centered,ablation,0.0,0.990066204071045,0.13333333333333333,0.989692006111145,0.13333333333333333,-0.00037419795989990234
tools,multi_early,3,4.0,raw,ablation,0.0,0.9900894212722778,0.13333333333333333,0.989692006111145,0.13333333333333333,-0.00039741516113278585
tools,multi_all,12,1.0,centered,ablation,0.06666666666666667,0.9897322463989258,0.13333333333333333,0.989692006111145,0.06666666666666667,-4.024028778071287e-05
tools,multi_all,12,1.0,raw,ablation,0.06666666666666667,0.9896920680999756,0.13333333333333333,0.989692006111145,0.06666666666666667,-6.198883051311554e-08
tools,multi_all,12,4.0,centered,ablation,0.0,0.9921023058891296,0.13333333333333333,0.989692006111145,0.13333333333333333,-0.0024102997779845703
tools,multi_all,12,4.0,raw,ablation,0.0,0.9920737862586975,0.13333333333333333,0.989692006111145,0.13333333333333333,-0.0023817801475524147
time,multi_all,12,4.0,centered,amplification,1.0,0.9925037789344787,0.6666666666666666,0.989374692440033,-0.33333333333333337,-0.0031290864944457653
place,multi_all,12,4.0,centered,amplification,0.8,0.994542944431305,0.7,0.9912307643890381,-0.10000000000000009,-0.0033121800422668546
tools,multi_all,12,4.0,centered,amplification,0.9,0.992145209312439,0.13333333333333333,0.989692006111145,-0.7666666666666667,-0.002453203201293941
